PART NUMBER,DESCRIPTION,BLP NGN,MARKETING CODE,CALCULATION FACTOR,WEIGHT,VOLUME
A2044402607,ELECTRICAL WIRING HARNESS,8760,1PV541,2.25,0.063,0.00162
A2044402610,ELECTRICAL WIRING HARNESS,96810,1PV541,2.25,0.448,0.02875
A2044402613,ELECTRICAL WIRING HARNESS,168234,1PV541,2.25,1.173,0.08712
A2044402634,ELECTRICAL WIRING HARNESS,18984,1PV541,2.25,0.234,0.02304
A2044402635,ELECTRICAL WIRING HARNESS,38358,1PV541,2.25,0,0
A2044402641,ELECTRICAL WIRING HARNESS,78444,1PV541,2.25,0.451,0.02875
A2044402653,ELECTRICAL WIRING HARNESS,22386,1PV541,2.25,0.069,0.02875
A2044402654,ELECTRICAL WIRING HARNESS,99018,1PV541,2.25,1.12,0.10952
A2044402710,ELECTRICAL WIRING HARNESS,13188,1PV541,2.25,0.067,0.02028
A2044402713,ELECTRICAL WIRING HARNESS,97110,1PV541,2.25,1.134,0.08712
A2044402732,ELECTRICAL WIRING HARNESS,134634,1PV541,2.25,1.158,0.1248
A2044402735,ELECTRICAL WIRING HARNESS,38358,1PV541,2.25,0,0
A2044402737,ELECTRICAL WIRING HARNESS,59838,1PV541,2.25,0,0
A2044402741,ELECTRICAL WIRING HARNESS,78444,1PV541,2.25,0.462,0.06552
A2044402753,ELECTRICAL WIRING HARNESS,32100,1PV541,2.25,0.124,0.0512
A2044402806,ELECTRICAL WIRING HARNESS,72720,1PV541,2.25,0.531,0.05819
A2044402810,WIRING HARNESS,51798,1PV541,2.25,0.15,0.0165
A2044402813,ELECTRICAL WIRING HARNESS,163602,1PV541,2.25,0.803,0.03808
A2044402837,ELECTRICAL WIRING HARNESS,59838,1PV541,2.25,0,0
A2044402841,ELECTRICAL WIRING HARNESS,78444,1PV541,2.25,0.542,0.045
A2044402850,ELECTRICAL WIRING HARNESS,59004,1PV541,2.25,0.994,0.14112
A204440285005,ELECTRICAL WIRING HARNESS,59004,1PV541,2.25,0.994,0.14112
A2044402853,ELECTRICAL WIRING HARNESS,32100,1PV541,2.25,0,0
A2044402854,ELECTRICAL WIRING HARNESS,177420,1PV541,2.25,2.066,0.144
A2044402905,WIRING HARNESS,9894,1PV541,2.25,0.045,0.00588
A2044402906,ELECTRICAL WIRING HARNESS,71046,1PV541,2.25,0.22,0.0252
A2044402909,ELECTRICAL WIRING HARNESS,34116,1PV541,2.25,0,0
A2044402910,ELECTRICAL WIRING HARNESS,20196,1PV541,2.25,0.46,0.045
A2044402937,ELECTRICAL WIRING HARNESS,53886,1PV541,2.25,0.562,0.072
A2044402941,ELECTRICAL WIRING HARNESS,78444,1PV541,2.25,0,0
A2044402953,ELECTRICAL WIRING HARNESS,32100,1PV541,2.25,0.153,0.0512
A2044402954,ELECTRICAL WIRING HARNESS,115824,1PV541,2.25,1.134,0.11466
A2044403008,ELECTRICAL WIRING HARNESS,7524,1PV541,2.25,0.055,0.00432
A2044403009,ELECTRICAL WIRING HARNESS,34116,1PV541,2.25,0,0
A2044403010,WIRING HARNESS,26460,1PV541,2.25,0.466,0.02898
A2044403033,ELECTRICAL WIRING HARNESS,17310,1PV541,2.25,0.055,0.0036
A2044403034,ELECTRICAL WIRING HARNESS,34116,1PV541,2.25,0,0
A2044403037,ELECTRICAL WIRING HARNESS,59838,1PV541,2.25,0.436,0.024
A2044403041,ELECTRICAL WIRING HARNESS,3534,1PV541,2.25,0.04,0.01428
A2044403053,ELECTRICAL WIRING HARNESS,35388,1PV541,2.25,0,0
A2044403054,ELECTRICAL WIRING HARNESS,173454,1PV541,2.25,2.238,0.15552
A2044403110,ELECTRICAL WIRING HARNESS,27894,1PV541,2.25,0.138,0.01584
A2044403134,ELECTRICAL WIRING HARNESS,3096,1PV541,2.25,0.056,0.00455
A2044403136,ELECTRICAL WIRING HARNESS,18162,1PV541,2.25,0.101,0.01144
A2044403137,ELECTRICAL WIRING HARNESS,59838,1PV541,2.25,0.47,0.12075
A2044403141,ELECTRICAL WIRING HARNESS,3534,1PV541,2.25,0.053,0.0084
A2044403151,ELECTRICAL WIRING HARNESS,10398,1PV541,2.25,0.068,0.00722
A2044403153,ELECTRICAL WIRING HARNESS,34116,1PV541,2.25,0,0
A2044403154,ELECTRICAL WIRING HARNESS,144192,1PV541,2.25,1.858,0.16128
A2044403206,ELECTRICAL WIRING HARNESS,34116,1PV541,2.25,0,0
A2044403210,ELECTRICAL WIRING HARNESS,96564,1PV541,2.25,0.428,0.04446
A2044403232,ELECTRICAL WIRING HARNESS,80304,1PV541,2.25,0.824,0.05488
A2044403237,ELECTRICAL WIRING HARNESS,28224,1PV541,2.25,0.087,0.03864
A2044403241,ELECTRICAL WIRING HARNESS,3534,1PV541,2.25,0,0
A2044403253,ELECTRICAL WIRING HARNESS,34116,1PV541,2.25,0,0
A2044403254,ELECTRICAL WIRING HARNESS,121998,1PV541,2.25,0.841,0.1007
A2044403309,ELECTRICAL WIRING HARNESS,17958,1PV541,2.25,0.23,0.01584
A2044403337,ELECTRICAL WIRING HARNESS,28224,1PV541,2.25,0.09,0.03864
A2044403341,ELECTRICAL WIRING HARNESS,3534,1PV541,2.25,0,0
A2044403353,ELECTRICAL WIRING HARNESS,34116,1PV541,2.25,0,0
A2044403354,ELECTRICAL WIRING HARNESS,156582,1PV541,2.25,2.369,0.18
A2044403409,ELECTRICAL WIRING HARNESS,15702,1PV541,2.25,0.216,0.039
A2044403434,ELECTRICAL WIRING HARNESS,35106,1PV541,2.25,0.547,0.04669
A2044403437,ELECTRICAL WIRING HARNESS,44766,1PV541,2.25,0,0
A2044403440,ELECTRICAL WIRING HARNESS,54774,1PV541,2.25,0.49,0.056
A2044403441,ELECTRICAL WIRING HARNESS,78444,1PV541,2.25,0.51,0.05819
A2044403451,ELECTRICAL WIRING HARNESS,29550,1PV541,2.25,0.458,0.03
A2044403453,ELECTRICAL WIRING HARNESS,34116,1PV541,2.25,0,0
A2044403454,ELECTRICAL WIRING HARNESS,54060,1PV541,2.25,0.893,0.072
A2044403534,ELECTRICAL WIRING HARNESS,34116,1PV541,2.25,0,0
A2044403539,ELECTRICAL WIRING HARNESS,96810,1PV541,2.25,0.85,0.06468
A2044403541,ELECTRICAL WIRING HARNESS,78444,1PV541,2.25,0.508,0.03645
A2044403550,ELECTRICAL WIRING HARNESS,26358,1PV541,2.25,0.589,0.02875
A2044403551,ELECTRICAL WIRING HARNESS,29550,1PV541,2.25,0.32,0.0264
A2044403553,ELECTRICAL WIRING HARNESS,34116,1PV541,2.25,0,0
A2044403554,ELECTRICAL WIRING HARNESS,68574,1PV541,2.25,0.911,0.10266
A2044403610,ELECTRICAL WIRING HARNESS,95850,1PV541,2.25,0.735,0.0697
A2044403613,ELECTRICAL WIRING HARNESS,83646,1PV541,2.25,1.045,0.129285
A2044403632,ELECTRICAL WIRING HARNESS,14766,1PV541,2.25,0.114,0.012
A2044403634,ELECTRICAL WIRING HARNESS,35106,1PV541,2.25,0.188,0.054
A2044403635,ELECTRICAL WIRING HARNESS,42930,1PV541,2.25,0.215,0.02646
A2044403640,ELECTRICAL WIRING HARNESS,38358,1PV541,2.25,0,0
A2044403641,ELECTRICAL WIRING HARNESS,78444,1PV541,2.25,0.522,0.0364
A2044403651,ELECTRICAL WIRING HARNESS,29550,1PV541,2.25,0.362,0.01995
A2044403653,ELECTRICAL WIRING HARNESS,34116,1PV541,2.25,0,0
A2044403706,WIRING HARNESS,25206,1PV541,2.25,0.422,0.03
A2044403713,ELECTRICAL WIRING HARNESS,7848,1PV541,2.25,0.004,0.00034
A2044403734,ELECTRICAL WIRING HARNESS,35106,1PV541,2.25,0.129,0.01512
A2044403735,ELECTRICAL WIRING HARNESS,38358,1PV541,2.25,0.206,0.02646
A2044403737,ELECTRICAL WIRING HARNESS,44766,1PV541,2.25,0.128,0.03864
A2044403740,ELECTRICAL WIRING HARNESS,26718,1PV541,2.25,0,0
A2044403741,ELECTRICAL WIRING HARNESS,78444,1PV541,2.25,0.495,0.025
A2044403750,ELECTRICAL WIRING HARNESS,22890,1PV541,2.25,0.469,0.02875
A2044403751,ELECTRICAL WIRING HARNESS,22854,1PV541,2.25,0.194,0.01323
A2044403753,ELECTRICAL WIRING HARNESS,62796,1PV541,2.25,0.465,0.02875
A2044403834,ELECTRICAL WIRING HARNESS,11658,1PV541,2.25,0.16,0.01716
A2044403835,ELECTRICAL WIRING HARNESS,53082,1PV541,2.25,0.283,0.0858
A2044403837,ELECTRICAL WIRING HARNESS,44766,1PV541,2.25,0,0
A2044403841,ELECTRICAL WIRING HARNESS,72828,1PV541,2.25,0.46,0.03864
A2044403850,ELECTRICAL WIRING HARNESS,26358,1PV541,2.25,0.509,0.02646
A2044403851,ELECTRICAL WIRING HARNESS,29550,1PV541,2.25,0.225,0.01452
A2044403853,ELECTRICAL WIRING HARNESS,80676,1PV541,2.25,0.16,0.0512
A2044403934,ELECTRICAL WIRING HARNESS,11658,1PV541,2.25,0.088,0.0072
A2044403935,ELECTRICAL WIRING HARNESS,93768,1PV541,2.25,0.445,0.0338
A2044403937,ELECTRICAL WIRING HARNESS,44766,1PV541,2.25,0,0
A2044403940,ELECTRICAL WIRING HARNESS,133476,1PV541,2.25,1.01,0.1088
A2044403941,ELECTRICAL WIRING HARNESS,78444,1PV541,2.25,0.462,0.04704
A2044403950,ELECTRICAL WIRING HARNESS,22890,1PV541,2.25,0.448,0.01575
A2044403951,ELECTRICAL WIRING HARNESS,30474,1PV541,2.25,0.172,0.0126
A2044403953,ELECTRICAL WIRING HARNESS,34116,1PV541,2.25,0,0
A2044404010,ELECTRICAL WIRING HARNESS,97890,1PV541,2.25,0.435,0.04446
A2044404034,ELECTRICAL WIRING HARNESS,8124,1PV541,2.25,0.142,0.0133
A2044404035,ELECTRICAL WIRING HARNESS,56592,1PV541,2.25,0.475,0.03276
A2044404037,ELECTRICAL WIRING HARNESS,44766,1PV541,2.25,0,0
A2044404040,ELECTRICAL WIRING HARNESS,34116,1PV541,2.25,0,0
A2044404051,ELECTRICAL WIRING HARNESS,31128,1PV541,2.25,0.183,0.01323
A2044404053,ELECTRICAL WIRING HARNESS,34116,1PV541,2.25,0,0
A2044404105,WIRING HARNESS,104130,1PV541,2.25,0.593,0.06727
A2044404134,ELECTRICAL WIRING HARNESS,7212,1PV541,2.25,0,0
A2044404136,ELECTRICAL WIRING HARNESS,28224,1PV541,2.25,0.473,0.025
A2044404137,ELECTRICAL WIRING HARNESS,53886,1PV541,2.25,0,0
A2044404141,ELECTRICAL WIRING HARNESS,78444,1PV541,2.25,0.472,0.01452
A2044404151,ELECTRICAL WIRING HARNESS,39510,1PV541,2.25,0.216,0.01323
A2044404153,ELECTRICAL WIRING HARNESS,34116,1PV541,2.25,0,0
A2044404205,WIRING HARNESS,97878,1PV541,2.25,0.591,0.07105
A2044404206,ELECTRICAL WIRING HARNESS,20934,1PV541,2.25,0,0
A2044404235,ELECTRICAL WIRING HARNESS,53082,1PV541,2.25,0.369,0.04116
A2044404236,ELECTRICAL WIRING HARNESS,28224,1PV541,2.25,0.48,0.04205
A2044404237,ELECTRICAL WIRING HARNESS,53886,1PV541,2.25,0,0
A2044404239,ELECTRICAL WIRING HARNESS,30840,1PV541,2.25,0.119,0.01296
A2044404240,ELECTRICAL WIRING HARNESS,14574,1PV541,2.25,0.21,0.0288
A2044404241,ELECTRICAL WIRING HARNESS,78444,1PV541,2.25,0.471,0.0348
A2044404251,ELECTRICAL WIRING HARNESS,12858,1PV541,2.25,0.041,0.00972
A2044404337,ELECTRICAL WIRING HARNESS,22290,1PV541,2.25,0,0
A2044404339,ELECTRICAL WIRING HARNESS,42612,1PV541,2.25,0.512,0.0276
A2044404340,ELECTRICAL WIRING HARNESS,14574,1PV541,2.25,0.172,0.00855
A2044404351,ELECTRICAL WIRING HARNESS,25776,1PV541,2.25,0.041,0.008
A2044404408,ELECTRICAL WIRING HARNESS,35100,1PV541,2.25,0.092,0.0512
A2044404441,ELECTRICAL WIRING HARNESS,34116,1PV541,2.25,0,0
A2044404451,ELECTRICAL WIRING HARNESS,15192,1PV541,2.25,0.068,0.0123
A2044404452,ELECTRICAL WIRING HARNESS,293748,1PV541,2.25,0.3,0.04256
A2044404453,ELECTRICAL WIRING HARNESS,34116,1PV541,2.25,0,0
A2044404539,ELECTRICAL WIRING HARNESS,37416,1PV541,2.25,0.13,0.01875
A2044404541,ELECTRICAL WIRING HARNESS,36600,1PV541,2.25,0,0
A2044404551,ELECTRICAL WIRING HARNESS,15192,1PV541,2.25,0.067,0.01026
A2044404553,ELECTRICAL WIRING HARNESS,34116,1PV541,2.25,0,0
A2044404607,ELECTRICAL WIRING HARNESS,42504,1PV541,2.25,0.862,0.11616
A2044404608,ELECTRICAL WIRING HARNESS,20016,1PV541,2.25,0,0
A2044404609,ELECTRICAL WIRING HARNESS,85518,1PV541,2.25,0.795,0.03864
A2044404632,ELECTRICAL WIRING HARNESS,34116,1PV541,2.25,0.17,0.02645
A204440463264,ELECTRICAL WIRING HARNESS,35400,1PV541,2.25,0.17,0.02645
A2044404639,ELECTRICAL WIRING HARNESS,9924,1PV541,2.25,0.119,0.01026
A2044404641,ELECTRICAL WIRING HARNESS,41532,1PV541,2.25,0.215,0.08448
A2044404652,ELECTRICAL WIRING HARNESS,35160,1PV541,2.25,0.503,0.016245
A2044404653,ELECTRICAL WIRING HARNESS,34116,1PV541,2.25,0,0
A2044404707,ELECTRICAL WIRING HARNESS,43686,1PV541,2.25,0.948,0.22607025
A2044404713,ELECTRICAL WIRING HARNESS,157248,1PV541,2.25,1.211,0.08448
A2044404732,ELECTRICAL WIRING HARNESS,34116,1PV541,2.25,0.125,0.016
A2044404741,ELECTRICAL WIRING HARNESS,34116,1PV541,2.25,0,0
A2044404752,ELECTRICAL WIRING HARNESS,35160,1PV541,2.25,0.449,0.0405
A2044404753,ELECTRICAL WIRING HARNESS,34116,1PV541,2.25,0,0
A2044404805,ELECTRICAL WIRING HARNESS,26430,1PV541,2.25,0.065,0.00864
A2044404807,WIRING HARNESS,112650,1PV541,2.25,0.587,0.04872
A2044404808,WIRING HARNESS,10176,1PV541,2.25,0.124,0.00882
A2044404813,ELECTRICAL WIRING HARNESS,49620,1PV541,2.25,0.164,0.03864
A2044404832,ELECTRICAL WIRING HARNESS,34116,1PV541,2.25,0.25,0.0392
A2044404837,ELECTRICAL WIRING HARNESS,44766,1PV541,2.25,0,0
A2044404838,ELECTRICAL WIRING HARNESS,8502,1PV541,2.25,0.066,0.0072
A2044404841,ELECTRICAL WIRING HARNESS,36630,1PV541,2.25,0,0
A2044404852,ELECTRICAL WIRING HARNESS,35160,1PV541,2.25,0.506,0.024
A2044404853,ELECTRICAL WIRING HARNESS,53886,1PV541,2.25,0.069,0.0096
A2044404905,ELECTRICAL WIRING HARNESS,19896,1PV541,2.25,0.06,0.01104
A2044404907,WIRING HARNESS,113202,1PV541,2.25,1.078,0.07744
A2044404908,WIRING HARNESS,29388,1PV541,2.25,0.195,0.01323
A2044404913,ELECTRICAL WIRING HARNESS,34116,1PV541,2.25,0,0
A2044404937,ELECTRICAL WIRING HARNESS,18018,1PV541,2.25,0.047,0.01872
A2044404938,ELECTRICAL WIRING HARNESS,16926,1PV541,2.25,0.072,0.01575
A2044404939,ELECTRICAL WIRING HARNESS,29016,1PV541,2.25,0,0
A2044404941,ELECTRICAL WIRING HARNESS,35100,1PV541,2.25,0.164,0.03864
A2044404953,ELECTRICAL WIRING HARNESS,34116,1PV541,2.25,0,0
A2044405005,WIRING HARNESS,19896,1PV541,2.25,0.116,0.0512
A2044405007,WIRING HARNESS,67644,1PV541,2.25,0.684,0.0512
A2044405008,WIRING HARNESS,37128,1PV541,2.25,0.23,0.01824
A2044405010,ELECTRICAL WIRING HARNESS,9066,1PV541,2.25,0.032,0.01232
A2044405013,ELECTRICAL WIRING HARNESS,46008,1PV541,2.25,0,0
A2044405036,ELECTRICAL WIRING HARNESS,28224,1PV541,2.25,0.382,0.02904
A2044405039,ELECTRICAL WIRING HARNESS,8148,1PV541,2.25,0.104,0.0132
A2044405040,ELECTRICAL WIRING HARNESS,10920,1PV541,2.25,0.058,0.00594
A2044405041,ELECTRICAL WIRING HARNESS,78444,1PV541,2.25,0,0
A2044405050,ELECTRICAL WIRING HARNESS,91668,1PV541,2.25,0.757,0.06552
A2044405053,ELECTRICAL WIRING HARNESS,34116,1PV541,2.25,0,0
A2044405105,WIRING HARNESS,39786,1PV541,2.25,0.128,0.0512
A2044405110,ELECTRICAL WIRING HARNESS,9090,1PV541,2.25,0.033,0.0036
A2044405113,ELECTRICAL WIRING HARNESS,25752,1PV541,2.25,0.265,0.0351
A2044405138,ELECTRICAL WIRING HARNESS,29934,1PV541,2.25,0.041,0.00792
A2044405141,ELECTRICAL WIRING HARNESS,78444,1PV541,2.25,0,0
A2044405150,ELECTRICAL WIRING HARNESS,91668,1PV541,2.25,0.854,0.04805
A2044405153,ELECTRICAL WIRING HARNESS,36594,1PV541,2.25,0,0
A2044405205,WIRING HARNESS,32802,1PV541,2.25,0.118,0.04096
A2044405208,ELECTRICAL WIRING HARNESS,34116,1PV541,2.25,0,0
A2044405210,ELECTRICAL WIRING HARNESS,79440,1PV541,2.25,0.49,0.05676
A2044405213,ELECTRICAL WIRING HARNESS,51444,1PV541,2.25,0.23,0.02838
A2044405235,ELECTRICAL WIRING HARNESS,108570,1PV541,2.25,0.695,0.08575
A2044405240,ELECTRICAL WIRING HARNESS,42660,1PV541,2.25,0.567,0.0392
A2044405305,WIRING HARNESS,25554,1PV541,2.25,0.161,0.04704
A2044405308,WIRING HARNESS,30558,1PV541,2.25,0.119,0.01083
A2044405310,ELECTRICAL WIRING HARNESS,79440,1PV541,2.25,0.538,0.0168
A2044405313,ELECTRICAL WIRING HARNESS,26166,1PV541,2.25,0.045,0.0076
A2044405336,ELECTRICAL WIRING HARNESS,33150,1PV541,2.25,0,0
A2044405340,ELECTRICAL WIRING HARNESS,8118,1PV541,2.25,0.142,0.01296
A2044405341,ELECTRICAL WIRING HARNESS,437316,1PV541,2.25,3.62,0.20787
A2044405352,ELECTRICAL WIRING HARNESS,117690,1PV541,2.25,1.674,0.23166
A2044405405,WIRING HARNESS,20442,1PV541,2.25,0.077,0.02028
A2044405408,WIRING HARNESS,25002,1PV541,2.25,0.111,0.00972
A2044405410,ELECTRICAL WIRING HARNESS,36810,1PV541,2.25,0.041,0.00646
A2044405440,ELECTRICAL WIRING HARNESS,6588,1PV541,2.25,0.031,0.0032
A2044405441,ELECTRICAL WIRING HARNESS,437316,1PV541,2.25,4.13,0.3264
A2044405452,ELECTRICAL WIRING HARNESS,177126,1PV541,2.25,2.429,0.30324
A2044405505,WIRING HARNESS,34242,1PV541,2.25,0.116,0.0512
A2044405507,RS ELECT. WIR. HARNESS,28434,1PV541,2.25,0.03,0.00696
A2044405510,ELECTRICAL WIRING HARNESS,12600,1PV541,2.25,0.146,0.02205
A2044405535,ELECTRICAL WIRING HARNESS,22236,1PV541,2.25,0.053,0.012
A2044405540,ELECTRICAL WIRING HARNESS,208614,1PV541,2.25,0.895,0.06125
A2044405541,ELECTRICAL WIRING HARNESS,437316,1PV541,2.25,4.128,0.3264
A2044405552,ELECTRICAL WIRING HARNESS,8592,1PV541,2.25,0.066,0.00918
A2044405605,WIRING HARNESS,30660,1PV541,2.25,0.129,0.04096
A2044405633,ELECTRICAL WIRING HARNESS,29490,1PV541,2.25,0.44,0.027405
A2044405635,ELECTRICAL WIRING HARNESS,22290,1PV541,2.25,0.046,0.012
A2044405640,ELECTRICAL WIRING HARNESS,6378,1PV541,2.25,0.05,0.01026
A2044405641,ELECTRICAL WIRING HARNESS,69456,1PV541,2.25,3.136,0.423
A2044405653,ELECTRICAL WIRING HARNESS,22356,1PV541,2.25,0.38,0.02464
A2044405705,WIRING HARNESS,32712,1PV541,2.25,0.159,0.04096
A2044405710,ELECTRICAL WIRING HARNESS,33660,1PV541,2.25,0.13,0.01863
A2044405733,ELECTRICAL WIRING HARNESS,29490,1PV541,2.25,0,0
A2044405735,ELECTRICAL WIRING HARNESS,22290,1PV541,2.25,0.053,0.012
A2044405736,ELECTRICAL WIRING HARNESS,175818,1PV541,2.25,2.243,0.18216
A2044405740,ELECTRICAL WIRING HARNESS,65394,1PV541,2.25,0.504,0.0264
A2044405741,ELECTRICAL WIRING HARNESS,69456,1PV541,2.25,3.465,0.423
A2044405750,ELECTRICAL WIRING HARNESS,121866,1PV541,2.25,4.414,0.3264
A2044405751,ELECTRICAL WIRING HARNESS,130452,1PV541,2.25,0.722,0.08092
A2044405810,ELECTRICAL WIRING HARNESS,33660,1PV541,2.25,0.17,0.0275
A2044405813,ELECTRICAL WIRING HARNESS,21438,1PV541,2.25,0.13,0.01485
A2044405832,ELECTRICAL WIRING HARNESS,8400,1PV541,2.25,0.108,0.0072
A2044405835,ELECTRICAL WIRING HARNESS,38358,1PV541,2.25,0.066,0.012
A2044405840,ELECTRICAL WIRING HARNESS,44010,1PV541,2.25,0,0
A2044405851,ELECTRICAL WIRING HARNESS,117996,1PV541,2.25,2.166,0.16335
A2044405905,WIRING HARNESS,30816,1PV541,2.25,0.138,0.0512
A2044405910,ELECTRICAL WIRING HARNESS,80304,1PV541,2.25,0.73,0.05742
A2044405932,ELECTRICAL WIRING HARNESS,19488,1PV541,2.25,0.099,0.0081
A2044405935,ELECTRICAL WIRING HARNESS,22290,1PV541,2.25,0.047,0.012
A2044405950,ELECTRICAL WIRING HARNESS,24852,1PV541,2.25,0.186,0.01728
A2044405952,ELECTRICAL WIRING HARNESS,34116,1PV541,2.25,0,0
A2044406006,WIRING HARNESS,108894,1PV541,2.25,0.154,0.018
A2044406007,ELECTRICAL WIRING HARNESS,56592,1PV541,2.25,0.469,0.03042
A2044406010,ELECTRICAL WIRING HARNESS,71622,1PV541,2.25,0,0
A2044406013,ELECTRICAL WIRING HARNESS,21438,1PV541,2.25,0.176,0.0216
A2044406035,ELECTRICAL WIRING HARNESS,22290,1PV541,2.25,0.055,0.02907
A2044406040,ELECTRICAL WIRING HARNESS,32286,1PV541,2.25,0.328,0.05766
A2044406050,ELECTRICAL WIRING HARNESS,11454,1PV541,2.25,0.037,0.00528
A2044406052,ELECTRICAL WIRING HARNESS,35112,1PV541,2.25,0.587,0.04374
A2044406105,WIRING HARNESS,25554,1PV541,2.25,0.15,0.04096
A2044406106,WIRING HARNESS,113298,1PV541,2.25,1.1,0.128
A2044406107,WIRING HARNESS,46884,1PV541,2.25,0.43,0.02484
A2044406135,ELECTRICAL WIRING HARNESS,26280,1PV541,2.25,0.041,0.01184
A2044406137,ELECTRICAL WIRING HARNESS,11328,1PV541,2.25,0.064,0.00392
A2044406140,ELECTRICAL WIRING HARNESS,71436,1PV541,2.25,0.3,0.03024
A2044406151,ELECTRICAL WIRING HARNESS,34116,1PV541,2.25,0.313,0.025
A2044406152,ELECTRICAL WIRING HARNESS,33264,1PV541,2.25,0.574,0.01568
A2044406207,WIRING HARNESS,46752,1PV541,2.25,0.43,0.02904
A2044406209,ELECTRICAL WIRING HARNESS,34116,1PV541,2.25,0,0
A2044406235,ELECTRICAL WIRING HARNESS,104010,1PV541,2.25,0.444,0.03864
A2044406240,ELECTRICAL WIRING HARNESS,14556,1PV541,2.25,0.102,0.00726
A2044406252,ELECTRICAL WIRING HARNESS,34116,1PV541,2.25,0,0
A2044406306,WIRING HARNESS,10140,1PV541,2.25,0.086,0.008
A2044406310,ELECTRICAL WIRING HARNESS,26274,1PV541,2.25,0.043,0.00648
A2044406335,ELECTRICAL WIRING HARNESS,108642,1PV541,2.25,0.418,0.03
A2044406337,ELECTRICAL WIRING HARNESS,18018,1PV541,2.25,0.072,0.00448
A2044406339,ELECTRICAL WIRING HARNESS,54540,1PV541,2.25,0.17,0.023
A2044406340,ELECTRICAL WIRING HARNESS,49962,1PV541,2.25,0.14,0.01152
A2044406350,ELECTRICAL WIRING HARNESS,140148,1PV541,2.25,5.137,0.45936
A2044406352,ELECTRICAL WIRING HARNESS,34116,1PV541,2.25,0,0
A2044406409,ELECTRICAL WIRING HARNESS,51054,1PV541,2.25,0.126,0.016
A2044406410,ELECTRICAL WIRING HARNESS,37044,1PV541,2.25,0.173,0.01083
A2044406435,ELECTRICAL WIRING HARNESS,108642,1PV541,2.25,0.54,0.0432
A2044406439,ELECTRICAL WIRING HARNESS,54540,1PV541,2.25,0.459,0.02304
A2044406452,ELECTRICAL WIRING HARNESS,35112,1PV541,2.25,0.68,0.0348
A2044406505,WIRING HARNESS,22854,1PV541,2.25,0,0
A2044406508,ELECTRICAL WIRING HARNESS,15408,1PV541,2.25,0.207,0.0324
A2044406535,ELECTRICAL WIRING HARNESS,108642,1PV541,2.25,0.445,0.03864
A2044406537,ELECTRICAL WIRING HARNESS,28224,1PV541,2.25,0.039,0.00792
A2044406539,ELECTRICAL WIRING HARNESS,63828,1PV541,2.25,0.331,0.0702
A2044406540,ELECTRICAL WIRING HARNESS,3546,1PV541,2.25,0.012,0.008
A2044406552,ELECTRICAL WIRING HARNESS,35112,1PV541,2.25,0.67,0.0264
A2044406606,WIRING HARNESS,24864,1PV541,2.25,0.179,0.02646
A2044406635,ELECTRICAL WIRING HARNESS,108642,1PV541,2.25,0.414,0.01944
A2044406639,ELECTRICAL WIRING HARNESS,63828,1PV541,2.25,0.461,0.0525
A2044406640,ELECTRICAL WIRING HARNESS,51054,1PV541,2.25,0.159,0.01728
A2044406652,ELECTRICAL WIRING HARNESS,39096,1PV541,2.25,0.679,0.02688
A2044406706,WIRING HARNESS,29574,1PV541,2.25,0.193,0.01188
A2044406713,ELECTRICAL WIRING HARNESS,51054,1PV541,2.25,0.526,0.0312
A2044406739,ELECTRICAL WIRING HARNESS,56256,1PV541,2.25,0.378,0.074
A2044406740,ELECTRICAL WIRING HARNESS,17238,1PV541,2.25,0.122,0.0128
A2044406750,ELECTRICAL WIRING HARNESS,34116,1PV541,2.25,0,0
A2044406808,ELECTRICAL WIRING HARNESS,15408,1PV541,2.25,0.3,0.0275
A2044406813,ELECTRICAL WIRING HARNESS,51054,1PV541,2.25,0.196,0.01197
A2044406839,ELECTRICAL WIRING HARNESS,63828,1PV541,2.25,0.503,0.08448
A2044406840,ELECTRICAL WIRING HARNESS,11124,1PV541,2.25,0.051,0.0195
A2044406841,ELECTRICAL WIRING HARNESS,78444,1PV541,2.25,1.024,0.10323
A2044406850,ELECTRICAL WIRING HARNESS,94968,1PV541,2.25,0.81,0.04704
A204440685005,ELECTRICAL WIRING HARNESS,94968,1PV541,2.25,0.818,0.14112
A2044406852,ELECTRICAL WIRING HARNESS,35346,1PV541,2.25,0.514,0.072
A2044406908,ELECTRICAL WIRING HARNESS,22770,1PV541,2.25,0.228,0.012
A2044406909,ELECTRICAL WIRING HARNESS,34116,1PV541,2.25,0,0
A2044406913,ELECTRICAL WIRING HARNESS,51054,1PV541,2.25,0.11,0.01026
A2044406935,ELECTRICAL WIRING HARNESS,78444,1PV541,2.25,0.497,0.03864
A2044406940,ELECTRICAL WIRING HARNESS,63822,1PV541,2.25,0.283,0.02704
A2044406952,ELECTRICAL WIRING HARNESS,35346,1PV541,2.25,0,0
A2044407010,ELECTRICAL WIRING HARNESS,22290,1PV541,2.25,0,0
A2044407013,ELECTRICAL WIRING HARNESS,51054,1PV541,2.25,0.034,0.00364
A2044407039,ELECTRICAL WIRING HARNESS,81270,1PV541,2.25,0.959,0.0525
A2044407040,ELECTRICAL WIRING HARNESS,64266,1PV541,2.25,0.244,0.027
A2044407052,ELECTRICAL WIRING HARNESS,16002,1PV541,2.25,0.309,0.022
A2044407110,ELECTRICAL WIRING HARNESS,36120,1PV541,2.25,0.213,0.0259
