PART NUMBER,DESCRIPTION,BLP NGN,MARKETING CODE,CALCULATION FACTOR,WEIGHT,VOLUME
A2035456740,BRACKET,28266,1PV541,2.25,0.407,0.03822
A2035457140,BRACKET,2838,1PV541,2.25,0.08,0.00351
A2035457240,BRACKET,35016,1PV541,2.25,0.42,0.08658
A2035457340,BRACKET,4254,1PV541,2.25,0.018,0.00072
A2035457640,BRACKET,21108,1PV541,2.25,0.39,0.03864
A2035460080,LINE GUIDE,7254,1PV541,2.25,0.053,0.0171
A2035460180,CABLE RAIL,6480,1PV541,2.25,0.056,0.0459
A2035460380,CABLE RAIL,6480,1PV541,2.25,0.087,0.0494
A2035460480,LINE GUIDE,10458,1PV541,2.25,0.138,0.1596
A2035460880,LINE GUIDE,7236,1PV541,2.25,0.04,0.0084
A2035461080,CABLE RAIL,7206,1PV541,2.25,0.034,0.00665
A2035461180,CABLE RAIL,7206,1PV541,2.25,0.037,0.00912
A2035461480,LINE GUIDE,3174,1PV541,2.25,0.017,0.00216
A2035461580,LINE GUIDE,6534,1PV541,2.25,0.06,0.0275
A2035462080,LINE GUIDE,8994,1PV541,2.25,0.055,0.006
A2035462180,LINE GUIDE,6288,1PV541,2.25,0.05,0.007
A2038200015,WIRING HARNESS,4620,1PV541,2.25,0.033,0.00285
A2038200037,TS PLUG,15648,1PV541,2.25,0.045,0.00576
A2038200115,WIRING HARNESS,14052,1PV541,2.25,0.085,0.00828
A2038200215,WIRING HARNESS,19182,1PV541,2.25,0.849,0.0444
A2038200315,WIRING HARNESS,55842,1PV541,2.25,0.284,0.01395
A2038200383,ELECTRIC LINE,218178,1PV541,2.25,0.107,0.0204
A2038200415,WIRING HARNESS,7932,1PV541,2.25,0.069,0.0032
A2038200615,ELECTRIC LINE,38490,1PV541,2.25,0.253,0.00882
A2038200715,WIRING HARNESS,38490,1PV541,2.25,0.196,0.0114
A2038200815,WIRING HARNESS,38490,1PV541,2.25,0.109,0.01058
A2038200915,WIRING HARNESS,21240,1PV541,2.25,0.224,0.00588
A2038201315,WIRING HARNESS,16206,1PV541,2.25,0.057,0.0036
A2038201415,ELECTRIC LINE,42906,1PV541,2.25,0.26,0.0392
A2038201515,ELECTRIC LINE,38262,1PV541,2.25,0.296,0.03
A2038201715,ELECTRIC LINE,71292,1PV541,2.25,5.656,0.1536
A2038202015,ELECTRIC LINE,58848,1PV541,2.25,0.052,0.0036
A2038202115,ELECTRIC LINE,6438,1PV541,2.25,0.042,0.00408
A2038202815,WIRING HARNESS,31902,1PV541,2.25,0.102,0.00425
A2038202915,ELECTRIC LINE,98640,1PV541,2.25,0.169,0.1596
A2038203315,ELECTRIC LINE,11778,1PV541,2.25,0.029,0.0532
A2038203415,ELECTRIC LINE,90234,1PV541,2.25,0.127,0.01024
A2038203515,ELECTRIC LINE,15894,1PV541,2.25,0.045,0.00364
A2038203815,ELECTRIC LINE,41496,1PV541,2.25,0.861,0.0432
A2038203915,ELECTRIC LINE,30300,1PV541,2.25,0.07,0.004
A2038204015,ELECTRIC LINE,17346,1PV541,2.25,0.17,0.01728
A2038204715,ELECTRIC LINE,13062,1PV541,2.25,0.058,0.00616
A2038204815,ELECTRIC LINE,15144,1PV541,2.25,0.88,0.0504
A2038205015,ELECTRIC LINE,86496,1PV541,2.25,0.187,0.01587
A2038205115,ELECTRIC LINE,86496,1PV541,2.25,0.187,0.01587
A2038205515,ELECTRIC LINE,14040,1PV541,2.25,0.011,0.00116
A2038205715,ELECTRIC LINE,182172,1PV541,2.25,0.354,0.0345
A2038205815,ELECTRIC LINE,225252,1PV541,2.25,2.7,0.11875
A2038205915,ELECTRIC LINE,57462,1PV541,2.25,2.608,0.09
A2038206215,ELECTRIC LINE,173496,1PV541,2.25,0.202,0.01725
A2038207215,ELECTRIC LINE,12300,1PV541,2.25,0.063,0.0072
A2038207315,ELECTRIC LINE,14508,1PV541,2.25,0.091,0.01725
A2038207515,ELECTRIC LINE,272040,1PV541,2.25,0,0
A2038207815,ELECTRIC LINE,93060,1PV541,2.25,1,0.05859
A2038208115,ELECTRIC LINE,100914,1PV541,2.25,0.256,0.0252
A2038208215,ELECTRIC LINE,86100,1PV541,2.25,0.262,0.025
A2038208315,ELECTRIC LINE,173496,1PV541,2.25,0.212,0.02268
A2038208415,ELECTRIC LINE,95490,1PV541,2.25,0.152,0.01716
A2038208515,ELECTRIC LINE,24864,1PV541,2.25,0.078,0.00816
A2038209015,ELECTRIC LINE,71400,1PV541,2.25,0.171,0.01296
A2038209115,ELECTRIC LINE,53802,1PV541,2.25,0.141,0.00784
A2038209215,ELECTRIC LINE,78498,1PV541,2.25,0.178,0.01156
A2038209315,ELECTRIC LINE,59184,1PV541,2.25,0.149,0.01296
A2038210028,CLAMP,1086,1PV541,2.25,0.003,0.0004
A2038210128,CLAMP,1086,1PV541,2.25,0.003,0.0004
A2044400013,ELECTRICAL WIRING HARNESS,15888,1PV541,2.25,0.282,0.025
A2044400035,ELECTRICAL WIRING HARNESS,38358,1PV541,2.25,0.287,0.025
A2044400040,ELECTRICAL WIRING HARNESS,22632,1PV541,2.25,0.213,0.0132
A2044400051,ELECTRICAL WIRING HARNESS,4206,1PV541,2.25,0.015,0.00648
A2044400054,ELECTRICAL WIRING HARNESS,82224,1PV541,2.25,0.924,0.048
A2044400107,WIRING HARNESS,129564,1PV541,2.25,0.602,0.07424
A2044400135,ELECTRICAL WIRING HARNESS,47280,1PV541,2.25,0.288,0.0392
A2044400137,ELECTRICAL WIRING HARNESS,44766,1PV541,2.25,0.52,0.02916
A2044400150,ELECTRICAL WIRING HARNESS,40710,1PV541,2.25,0.782,0.04158
A2044400152,ELECTRICAL WIRING HARNESS,56208,1PV541,2.25,0.286,0.03036
A2044400210,ELECTRICAL WIRING HARNESS,103422,1PV541,2.25,1.125,0.11552
A2044400234,ELECTRICAL WIRING HARNESS,78444,1PV541,2.25,0.546,0.0312
A2044400235,ELECTRICAL WIRING HARNESS,38358,1PV541,2.25,0.117,0.0114
A2044400237,ELECTRICAL WIRING HARNESS,44766,1PV541,2.25,0.726,0.0288
A2044400239,ELECTRICAL WIRING HARNESS,9810,1PV541,2.25,0.076,0.01596
A2044400241,ELECTRICAL WIRING HARNESS,34410,1PV541,2.25,0.05,0.00507
A204440024105,ELECTRICAL WIRING HARNESS,34410,1PV541,2.25,0.05,0.00507
A2044400250,ELECTRICAL WIRING HARNESS,34116,1PV541,2.25,0,0
A2044400252,ELECTRICAL WIRING HARNESS,34116,1PV541,2.25,0.292,0.016
A2044400254,ELECTRICAL WIRING HARNESS,116262,1PV541,2.25,1.623,0.16335
A2044400305,WIRING HARNESS,27834,1PV541,2.25,0.158,0.0175
A204440030564,WIRING HARNESS,27834,1PV541,2.25,0.158,0.0175
A2044400310,ELECTRICAL WIRING HARNESS,76890,1PV541,2.25,1.176,0.0756
A2044400341,ELECTRICAL WIRING HARNESS,37044,1PV541,2.25,0.181,0.01875
A2044400350,ELECTRICAL WIRING HARNESS,17886,1PV541,2.25,0.049,0.0084
A2044400405,WIRING HARNESS,33216,1PV541,2.25,0.23,0.01944
A2044400410,ELECTRICAL WIRING HARNESS,73566,1PV541,2.25,0.719,0.0496125
A2044400441,ELECTRICAL WIRING HARNESS,37044,1PV541,2.25,0.16,0.0264
A2044400450,ELECTRICAL WIRING HARNESS,46224,1PV541,2.25,0.356,0.02288
A2044400508,ELECTRICAL WIRING HARNESS,137922,1PV541,2.25,1.205,0.15552
A2044400510,ELECTRICAL WIRING HARNESS,113670,1PV541,2.25,1.218,0.098
A2044400538,ELECTRICAL WIRING HARNESS,14316,1PV541,2.25,0.04,0.00714
A2044400539,ELECTRICAL WIRING HARNESS,178338,1PV541,2.25,2.28,0.09464
A2044400541,ELECTRICAL WIRING HARNESS,3534,1PV541,2.25,0.024,0.0051
A2044400552,ELECTRICAL WIRING HARNESS,34116,1PV541,2.25,0,0
A2044400554,ELECTRICAL WIRING HARNESS,60186,1PV541,2.25,0.435,0.015
